WSID,Water System Name,History of E. coli Presence,Increasing Presence of Water Quality Trends Toward MCL,Treatment Technique Violations,Past Presence on the HR2W List,Maximum Duration of High Potential Exposure (HPE),Percentage of Sources Exceeding an MCL,Number of Water Sources ,Presence of Interties,Water Source Types,DWR – Drought & Water Shortage Risk Assessment Results,Critically Overdrafted Groundwater Basin,Percent of Median Household Income (%MHI),Extreme Water Bill,Percent Shutoffs,Number of Service Connections,Operator Certification Violations,Monitoring and Reporting Violations,Significant Deficiencies,Extensive Treatment Installed,Final At-Risk List
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,0,0,0,0,0.25,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,Not At-Risk
CA0103041,TRAILER HAVEN MOBILE HOME PARK,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,0,0,0,0,0,0,1,0,0.5,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0105009,MOUNTAIN HOUSE SCHOOL,0,0,0,0, ,0,1,1,0,0,0, , ,0,1,0,0,0,0,At-Risk
CA0110012,TOWN OF SUNOL-SFPUC,0,0,0,0,0,0,1,0,0.5, ,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0110016,ALAMEDA POINT,0,0,0,0,0,0,1,0,0.5,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0110018,SFPUC-PLEASANTON WELLS,0,0,0,0, ,0,0,1,0, ,0, , ,0,1,0,0,0,0,Not At-Risk
CA0202501,DIAMOND VALLEY SCHOOL,0,0,0,0, ,0,1,1,1,1,0, ,0,0,1,0,0,0,0,At-Risk
CA0202503,WOODFORDS MUTUAL WATER COMPANY,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0202504,MARKLEEVILLE WATER CO.,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,1,0,0,0,1,Not At-Risk
CA0202522,SIERRA PINES MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0210001,LAKE ALPINE WATER COMPANY,0,0,0,0,0.25,0,1,1,1,0,0,1,1,0,1,0,0,0,1,At-Risk
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,0,0.25,0,0,0.25,0,0,1,0,0,0,0.75,0,0,0,0,0,0,0,Not At-Risk
CA0300010,DRYTOWN COUNTY WATER DISTRICT,0,0,0,0,0,0,1,0,0.5,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0300011,SUTTER PINES MHP,0,0.25,0,0,0,0,1,1,1,0,0, , ,0,1,0,0,0,0,Not At-Risk
CA0300016,VOLCANO COMMUNITY SERVICE DIST,0,0.25,0,0,0,0,0,1,0,0,0, , ,0,1,0,0,0,0,Not At-Risk
CA0300019,FIDDLETOWN COMMUNITY SERVICE,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0300024,TABEAU MOBILE HOME PARK,0,0,0,0,0.25,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,Not At-Risk
CA0300053,RANCHO DEL ORO,1,0,0,0,0.5,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,At-Risk
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,0,0.25,0,0,0,0,1,1,1,0.25,0,0,0, ,1,0,0,0,0,Not At-Risk
CA0300078,IONE BAND OF MIWOK INDIANS,0,0,0,0,0.25,0,1,1,1,1,0,0, ,0,1,0,0,0,0,Potentially At-Risk
CA0310001,CITY OF JACKSON,0,0,0,0,0.25,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0310002,"AWA, IONE",0,0,0,0,0,0,1,1,1, ,0,0,0,0,0,0,0,0,1,Potentially At-Risk
CA0310004,"PLYMOUTH, CITY OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0310005,PINE GROVE COMM SERV DIST,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0310006,RIVER PINES PUD,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA0310008,CAMANCHE NORTH SHORE INC.,0,0.25,0,0,0,0,0,1,0,0,0, , ,0,1,0,0,0,0,Not At-Risk
CA0310011,FIRST MACE MEADOW # 1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0310019,AWA LA MEL HEIGHTS #3,0,0,0,0,0,0,0,1,0, ,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA0310021,AWA - CAMANCHE VILLAGE,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,0,0,0,0,0,0,0,1,0,0.25,0, , ,0,1,0,0,0,0,Not At-Risk
CA0400003,HARTLEY MUTUAL WATER SYSTEM,0,0,0,0,0,0,1,1,1,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,0,0,0,0,0,0,1,1,1,1,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,0,0,0,0,0,0,0,1,0,0,1,0.75,0,0,1,0,0,0,0,Not At-Risk
CA0400008,GRAN MUTUAL WATER CO,0,0,0,0,0.25,0,0,1,0,0,1,0.75,0.5,0,1,0,0,0,0,Not At-Risk
CA0400012,FARM LABOR HOUSING,0,0.25,0,0.5,0.25,1,1,1,1,0,0,0,0,0,1,0,0,0,0,At-Risk
CA0400013,MERRY MOUNTAIN MUTUAL,0,0,0,0,1,0,0,1,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
